augustus_masked-NW_019168381.1-processed-gene-0.3-mRNA-1	29760.VIT_02s0033g01370.t01	1.2e-306	1057.4	DUR3	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0009987,GO:0015204,GO:0015840,GO:0016020,GO:0019755,GO:0022857,GO:0022891,GO:0022892,GO:0042886,GO:0042887,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071918,GO:0071944		UREAt_1	virNOG[6]	1BM5J@strNOG,1DZ0I@virNOG,COG0591@NOG,KOG2348@euNOG	NA|NA|NA	P	urea active transporter
augustus_masked-NW_019168381.1-processed-gene-0.0-mRNA-1	29760.VIT_02s0087g00070.t01	1.4e-229	800.8	RECQL2	GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009378,GO:0009987,GO:0016462,GO:0016592,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0032991,GO:0033554,GO:0034641,GO:0043138,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0070013,GO:0071103,GO:0071704,GO:0090304,GO:1901360	K10899		virNOG[6]	1BMV0@strNOG,1DY7K@virNOG,COG0514@NOG,KOG0351@euNOG	NA|NA|NA	L	ATP-dependent DNA helicase
augustus_masked-NW_019168381.1-processed-gene-0.2-mRNA-1	3694.POPTR_0001s01220.1	3.2e-125	453.8					virNOG[6]	0IH1I@euNOG,0YC5E@NOG,1BI1J@strNOG,1DVYE@virNOG	NA|NA|NA		
augustus_masked-NW_019168381.1-processed-gene-0.4-mRNA-1	3694.POPTR_0001s01190.1	1.2e-81	307.8		GO:0000003,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0007275,GO:0008037,GO:0008150,GO:0009553,GO:0009566,GO:0009567,GO:0009987,GO:0009988,GO:0019953,GO:0022412,GO:0022414,GO:0032501,GO:0032502,GO:0032504,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044702,GO:0044707,GO:0044763,GO:0048229,GO:0048610,GO:0048856,GO:0080173			virNOG[6]	1BDSN@strNOG,1DRPN@virNOG,COG0666@NOG,KOG0504@euNOG	NA|NA|NA	S	Ankyrin repeat-containing protein
augustus_masked-NW_019168381.1-processed-gene-0.1-mRNA-1	3694.POPTR_0003s10340.1	4.8e-40	169.5	RECQL2	GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009378,GO:0009987,GO:0016462,GO:0016592,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0032991,GO:0033554,GO:0034641,GO:0043138,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043234,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0070013,GO:0071103,GO:0071704,GO:0090304,GO:1901360	K10899		virNOG[6]	1BMV0@strNOG,1DY7K@virNOG,COG0514@NOG,KOG0351@euNOG	NA|NA|NA	L	ATP-dependent DNA helicase
augustus_masked-NW_019168381.1-processed-gene-0.7-mRNA-1	3847.GLYMA04G14770.1	6.8e-216	756.1		GO:0000003,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0007049,GO:0007275,GO:0008017,GO:0008092,GO:0008150,GO:0009524,GO:0009555,GO:0009556,GO:0009574,GO:0009987,GO:0015630,GO:0015631,GO:0022414,GO:0032501,GO:0032502,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0048229,GO:0048236,GO:0048610,GO:0048856,GO:0048869,GO:0051015,GO:0051321			virNOG[6]	0IIBD@euNOG,0XT5Z@NOG,1BIT9@strNOG,1DWQG@virNOG	NA|NA|NA	S	Formin-like protein
augustus_masked-NW_019168381.1-processed-gene-0.13-mRNA-1	3694.POPTR_0001s23770.1	2e-121	441.0					virNOG[6]	0IQAH@euNOG,11R43@NOG,1C70E@strNOG,1EKXJ@virNOG	NA|NA|NA	S	F-box kelch-repeat protein
augustus_masked-NW_019168381.1-processed-gene-0.8-mRNA-1	59689.fgenesh2_kg.3__2450__AT3G22370.1	5.3e-139	499.2	AOX1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006091,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009266,GO:0009409,GO:0009628,GO:0009916,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016679,GO:0016682,GO:0019866,GO:0023052,GO:0031090,GO:0031930,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044710,GO:0044763,GO:0045333,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007	K17893		virNOG[6]	0BYY3@braNOG,0IIJ8@euNOG,0YFEH@NOG,1BDBI@strNOG,1DSXX@virNOG	NA|NA|NA	C	alternative oxidase 1a
augustus_masked-NW_019168381.1-processed-gene-0.9-mRNA-1	29760.VIT_12s0028g01250.t01	4.8e-107	392.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0008150,GO:0009368,GO:0009507,GO:0009526,GO:0009532,GO:0009534,GO:0009535,GO:0009536,GO:0009570,GO:0009579,GO:0009657,GO:0009658,GO:0009840,GO:0009941,GO:0009987,GO:0016020,GO:0016043,GO:0031967,GO:0031975,GO:0031976,GO:0031984,GO:0032991,GO:0034357,GO:0040034,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763,GO:0048506,GO:0048509,GO:0048510,GO:0050789,GO:0050793,GO:0051239,GO:0055035,GO:0065007,GO:0071840,GO:2000026	K01358		virNOG[6]	1BFGR@strNOG,1DTEX@virNOG,COG0740@NOG,KOG0840@euNOG	NA|NA|NA	O	ATP-dependent Clp protease proteolytic subunit
augustus_masked-NW_019168381.1-processed-gene-0.5-mRNA-1	29760.VIT_02s0033g01360.t01	1.6e-69	267.7		GO:0000003,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0007049,GO:0007275,GO:0008017,GO:0008092,GO:0008150,GO:0009524,GO:0009555,GO:0009556,GO:0009574,GO:0009987,GO:0015630,GO:0015631,GO:0022414,GO:0032501,GO:0032502,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0048229,GO:0048236,GO:0048610,GO:0048856,GO:0048869,GO:0051015,GO:0051321			virNOG[6]	0IIBD@euNOG,0XT5Z@NOG,1BIT9@strNOG,1DWQG@virNOG	NA|NA|NA	S	Formin-like protein
